roundIndex;contract_name;event_name;rawdata
73;HotelRoomBug;CheckOut;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000002386f26fc10000000000000000000000000000000000000000000000000000000000000000000e52656c656173696e6720526f6f6d000000000000000000000000000000000000
72;HotelRoomBug;CheckIn;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000009184e72a0000000000000000000000000000000000000000000000000000000000000000028526f6f6d206265696e67207265736572766564206d6f6e657920776173207472616e736665726564000000000000000000000000000000000000000000000000
72;HotelRoomBug;CheckOut;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000002386f26fc10000000000000000000000000000000000000000000000000000000000000000000e52656c656173696e6720526f6f6d000000000000000000000000000000000000
71;HotelRoomBug;CheckIn;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000009184e72a0000000000000000000000000000000000000000000000000000000000000000028526f6f6d206265696e67207265736572766564206d6f6e657920776173207472616e736665726564000000000000000000000000000000000000000000000000
71;HotelRoomBug;CheckOut;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000002386f26fc10000000000000000000000000000000000000000000000000000000000000000000e52656c656173696e6720526f6f6d000000000000000000000000000000000000
70;HotelRoomBug;CheckIn;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000009184e72a0000000000000000000000000000000000000000000000000000000000000000028526f6f6d206265696e67207265736572766564206d6f6e657920776173207472616e736665726564000000000000000000000000000000000000000000000000
70;HotelRoomBug;CheckOut;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000002386f26fc10000000000000000000000000000000000000000000000000000000000000000000e52656c656173696e6720526f6f6d000000000000000000000000000000000000
69;HotelRoomBug;CheckIn;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000009184e72a0000000000000000000000000000000000000000000000000000000000000000028526f6f6d206265696e67207265736572766564206d6f6e657920776173207472616e736665726564000000000000000000000000000000000000000000000000
69;HotelRoomBug;CheckOut;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000002386f26fc10000000000000000000000000000000000000000000000000000000000000000000e52656c656173696e6720526f6f6d000000000000000000000000000000000000
68;HotelRoomBug;CheckIn;0x00000000000000000000000070997970c51812dc3a010c7d01b50e0d17dc79c80000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000009184e72a0000000000000000000000000000000000000000000000000000000000000000028526f6f6d206265696e67207265736572766564206d6f6e657920776173207472616e736665726564000000000000000000000000000000000000000000000000
